,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
5787,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Budget Car Rental,40.852826,-74.835646,Rental Car Location
5788,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Bea McNally's Irish Pub And Eatery,40.85339569565794,-74.82980936814022,Restaurant
5789,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Activate Fitness,40.8529481713137,-74.82801754368629,Gym
5790,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Monchy's Colombian Grill,40.854208,-74.829935,Colombian Restaurant
5791,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Wonder Nails,40.85487054304692,-74.83127966187723,Cosmetics Shop
5792,HACKETTSTOWN,40.85347000000007,-74.82877999999994,NJT - Hackettstown Station (M&E/MOBO),40.85151608682169,-74.83473773351827,Train Station
5793,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Frank's Trattoria,40.854900751243164,-74.83348801774326,Pizza Place
5794,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Sizzle BBQ,40.85088,-74.826511,BBQ Joint
5795,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Harper's Bagel & Bake Shop,40.851012688819125,-74.8261508345604,Bakery
5796,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Leo's Lunch Stand,40.8508572749715,-74.82628923286731,American Restaurant
5797,HACKETTSTOWN,40.85347000000007,-74.82877999999994,China Garden,40.85483056221106,-74.83341017066189,Asian Restaurant
5798,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Shell,40.848680851553986,-74.82352901059934,Gas Station
5799,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Mars Field,40.857908041276445,-74.82491081949554,Baseball Field
5800,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Centenary Little Theatre,40.84891774394661,-74.83268943722807,Theater
5801,SHAMONG TWP,39.792140000000074,-74.75477999999998,Pete Smith's Indian Mills Auto Repair,39.79088,-74.753198,Automotive Shop
5802,SHAMONG TWP,39.792140000000074,-74.75477999999998,Pistol Pete's Gun Shop,39.78994834993821,-74.75216746330261,Gun Shop
5803,EVESHAM TWP,39.886340000000075,-74.90842999999995,Staples,39.89179506,-74.90609982,Paper / Office Supplies Store
5804,EVESHAM TWP,39.886340000000075,-74.90842999999995,Memorial Turf Field,39.88642769098004,-74.90758955247746,Soccer Field
5805,EVESHAM TWP,39.886340000000075,-74.90842999999995,Premiere Outdoor Movies,39.8868114,-74.9099617,Movie Theater
5806,EVESHAM TWP,39.886340000000075,-74.90842999999995,Marlton Tavern,39.89138512134034,-74.9054314568273,Bar
5807,EVESHAM TWP,39.886340000000075,-74.90842999999995,Dollar Tree,39.882720947265625,-74.90266418457031,Discount Store
5808,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Dunkin',40.854191140816546,-74.11848108890285,Donut Shop
5809,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Backdrafts Pub,40.85350620612176,-74.11414303691514,Sports Bar
5810,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Adam's Food Market,40.85313466709838,-74.11503826193187,Grocery Store
5811,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Cedars,40.8547310398776,-74.1189822433969,Lounge
5812,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Main Bagels,40.85475499645521,-74.11699608658294,Bagel Shop
5813,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Lan Sheng Szechuan Restaurant,40.84844064312691,-74.11274959608454,Szechuan Restaurant
5814,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Crossfit Steam,40.84720466058682,-74.12055598140108,Gym
5815,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Samuel Nelkin County Park,40.84935577953808,-74.10926536588438,Park
5816,WALLINGTON BORO,40.85244000000006,-74.11598999999995,The Vapor Store,40.846928000000005,-74.111769,Smoke Shop
5817,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Chase Bank,40.855208,-74.114149,Bank
5818,WALLINGTON BORO,40.85244000000006,-74.11598999999995,Shell,40.84980284323535,-74.11405217776269,Gas Station
